champion_name,role,matchup_type,counter_champion,matchup_winrate,rank
Aatrox,JUNGLE,strong_against,Udyr,66.00%,1
Aatrox,JUNGLE,strong_against,Jayce,62.50%,2
Aatrox,JUNGLE,strong_against,Zyra,61.76%,3
Aatrox,JUNGLE,strong_against,Diana,58.93%,4
Aatrox,JUNGLE,strong_against,Hecarim,57.63%,5
Aatrox,JUNGLE,strong_against,Briar,56.79%,6
Aatrox,JUNGLE,strong_against,Viego,56.58%,7
Aatrox,JUNGLE,strong_against,Rengar,56.47%,8
Aatrox,JUNGLE,strong_against,Kha'Zix,56.12%,9
Aatrox,JUNGLE,strong_against,Talon,55.00%,10
Aatrox,JUNGLE,weak_against,Zac,31.25%,1
Aatrox,JUNGLE,weak_against,Warwick,39.13%,2
Aatrox,JUNGLE,weak_against,Xin Zhao,42.86%,3
Aatrox,JUNGLE,weak_against,Ekko,43.55%,4
Aatrox,JUNGLE,weak_against,Elise,45.00%,5
Aatrox,JUNGLE,weak_against,Kayn,45.45%,6
Aatrox,JUNGLE,weak_against,Naafiri,45.76%,7
Aatrox,JUNGLE,weak_against,Sejuani,45.95%,8
Aatrox,JUNGLE,weak_against,Bel'Veth,46.30%,9
Aatrox,JUNGLE,weak_against,Lillia,47.27%,10
Aatrox,TOP,strong_against,Trundle,61.59%,1
Aatrox,TOP,strong_against,Vladimir,61.45%,2
Aatrox,TOP,strong_against,Akali,55.71%,3
Aatrox,TOP,strong_against,Sion,54.26%,4
Aatrox,TOP,strong_against,Gragas,53.59%,5
Aatrox,TOP,strong_against,Tahm Kench,53.57%,6
Aatrox,TOP,strong_against,Illaoi,53.40%,7
Aatrox,TOP,strong_against,Kayle,53.10%,8
Aatrox,TOP,strong_against,Olaf,52.94%,9
Aatrox,TOP,strong_against,Sett,52.70%,10
Aatrox,TOP,weak_against,Riven,41.77%,1
Aatrox,TOP,weak_against,Singed,42.35%,2
Aatrox,TOP,weak_against,Pantheon,45.10%,3
Aatrox,TOP,weak_against,Yorick,45.54%,4
Aatrox,TOP,weak_against,Ambessa,45.83%,5
Aatrox,TOP,weak_against,Malphite,46.10%,6
Aatrox,TOP,weak_against,Kled,46.45%,7
Aatrox,TOP,weak_against,Gwen,46.52%,8
Aatrox,TOP,weak_against,Mordekaiser,46.85%,9
Aatrox,TOP,weak_against,Urgot,47.08%,10
Ahri,MID,strong_against,Aurelion Sol,61.79%,1
Ahri,MID,strong_against,Galio,57.11%,2
Ahri,MID,strong_against,Azir,55.98%,3
Ahri,MID,strong_against,Ryze,54.74%,4
Ahri,MID,strong_against,Yone,53.82%,5
Ahri,MID,strong_against,Swain,53.57%,6
Ahri,MID,strong_against,Locke,53.41%,7
Ahri,MID,strong_against,Vel'Koz,53.33%,8
Ahri,MID,strong_against,Gwen,53.28%,9
Ahri,MID,strong_against,Cassiopeia,53.22%,10
Ahri,MID,weak_against,Taliyah,40.72%,1
Ahri,MID,weak_against,Naafiri,41.41%,2
Ahri,MID,weak_against,Gangplank,43.04%,3
Ahri,MID,weak_against,Talon,46.22%,4
Ahri,MID,weak_against,Zoe,46.87%,5
Ahri,MID,weak_against,Jayce,47.12%,6
Ahri,MID,weak_against,Akshan,47.16%,7
Ahri,MID,weak_against,Brand,47.37%,8
Ahri,MID,weak_against,Annie,47.68%,9
Ahri,MID,weak_against,Veigar,47.98%,10
Akali,MID,strong_against,Orianna,58.75%,1
Akali,MID,strong_against,Naafiri,56.14%,2
Akali,MID,strong_against,Ekko,55.79%,3
Akali,MID,strong_against,Locke,55.37%,4
Akali,MID,strong_against,Gwen,55.13%,5
Akali,MID,strong_against,Fizz,54.95%,6
Akali,MID,strong_against,Cassiopeia,54.55%,7
Akali,MID,strong_against,Annie,54.43%,8
Akali,MID,strong_against,Vladimir,53.38%,9
Akali,MID,strong_against,Aurora,53.38%,10
Akali,MID,weak_against,Gangplank,37.78%,1
Akali,MID,weak_against,Vex,41.85%,2
Akali,MID,weak_against,Pantheon,42.31%,3
Akali,MID,weak_against,Lissandra,42.33%,4
Akali,MID,weak_against,Riven,42.86%,5
Akali,MID,weak_against,Swain,44.68%,6
Akali,MID,weak_against,Qiyana,44.98%,7
Akali,MID,weak_against,Azir,45.07%,8
Akali,MID,weak_against,Talon,45.45%,9
Akali,MID,weak_against,Twisted Fate,45.56%,10
Akali,TOP,strong_against,Wukong,67.57%,1
Akali,TOP,strong_against,Kayle,60.29%,2
Akali,TOP,strong_against,Vayne,59.29%,3
Akali,TOP,strong_against,Mordekaiser,58.02%,4
Akali,TOP,strong_against,Ryze,56.76%,5
Akali,TOP,strong_against,Varus,55.88%,6
Akali,TOP,strong_against,Gragas,55.32%,7
Akali,TOP,strong_against,K'Sante,55.14%,8
Akali,TOP,strong_against,Teemo,53.99%,9
Akali,TOP,strong_against,Pantheon,53.68%,10
Akali,TOP,weak_against,Kled,36.36%,1
Akali,TOP,weak_against,Anivia,40.00%,2
Akali,TOP,weak_against,Sion,40.86%,3
Akali,TOP,weak_against,Urgot,42.03%,4
Akali,TOP,weak_against,Nasus,42.42%,5
Akali,TOP,weak_against,Volibear,42.70%,6
Akali,TOP,weak_against,Ornn,42.86%,7
Akali,TOP,weak_against,Cho'Gath,43.06%,8
Akali,TOP,weak_against,Dr. Mundo,43.51%,9
Akali,TOP,weak_against,Kennen,43.68%,10
Akshan,MID,strong_against,Mel,67.21%,1
Akshan,MID,strong_against,Ekko,61.76%,2
Akshan,MID,strong_against,Nasus,58.57%,3
Akshan,MID,strong_against,Annie,57.53%,4
Akshan,MID,strong_against,Talon,56.90%,5
Akshan,MID,strong_against,Naafiri,56.76%,6
Akshan,MID,strong_against,Taliyah,55.77%,7
Akshan,MID,strong_against,Orianna,55.29%,8
Akshan,MID,strong_against,Zed,55.12%,9
Akshan,MID,strong_against,LeBlanc,54.55%,10
Akshan,MID,weak_against,Yasuo,39.75%,1
Akshan,MID,weak_against,Malphite,40.98%,2
